id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
216,8/2/2015,Ath Bilbao,Barcelona,2,5,A,0,2,A,15,19,6,11,15,10,4,4,3,1,1,0
217,8/2/2015,Cordoba,Almeria,1,2,A,1,0,H,14,8,7,2,15,17,6,6,2,5,0,0
218,8/2/2015,Espanol,Valencia,1,2,A,0,0,D,9,13,3,5,22,16,7,2,5,4,0,0
219,8/2/2015,Getafe,Sevilla,2,1,H,1,0,H,18,9,8,2,6,13,9,5,1,2,0,0
220,9/2/2015,Elche,Vallecano,2,0,H,1,0,H,18,11,5,3,21,21,5,4,2,3,0,1
221,13/02/15,Almeria,Sociedad,2,2,D,2,1,H,9,7,4,3,21,15,6,6,5,4,0,0
222,14/02/15,Granada,Ath Bilbao,0,0,D,0,0,D,11,10,4,0,16,9,4,4,4,4,1,0
223,14/02/15,Malaga,Espanol,0,2,A,0,1,A,17,6,5,2,12,18,10,3,3,7,0,1
224,14/02/15,Real Madrid,La Coruna,2,0,H,1,0,H,17,15,6,4,12,17,6,6,2,4,0,0
225,14/02/15,Sevilla,Cordoba,3,0,H,2,0,H,18,10,6,3,15,16,8,1,0,1,1,1
226,15/02/15,Barcelona,Levante,5,0,H,2,0,H,18,5,10,1,6,13,3,4,1,2,0,0
227,15/02/15,Celta,Ath Madrid,2,0,H,0,0,D,14,10,3,5,4,12,9,2,0,3,0,0
228,15/02/15,Valencia,Getafe,1,0,H,0,0,D,13,10,3,1,16,10,7,2,3,4,0,0
229,15/02/15,Vallecano,Villarreal,2,0,H,0,0,D,13,9,7,2,12,14,5,5,2,2,0,0
230,16/02/15,Eibar,Elche,0,1,A,0,0,D,18,6,7,2,13,12,5,3,3,1,1,0
231,20/02/15,Getafe,Espanol,2,1,H,1,0,H,10,11,4,7,15,14,2,5,3,3,0,0
232,21/02/15,Ath Madrid,Almeria,3,0,H,3,0,H,9,9,6,1,13,13,8,4,1,1,1,0
